Language code (ISO 639-1),lang-code,en,fr,af,sq,ar,hy,bg,zh,zh-Hans,cs,nl,et,de,el,hi,hu,is,id,it,iu,ja,ko,lv,lt,pl,pt,pt-BR,ru,sk,es,th,tr,uk,vi
,tmpl-nositemenubc,No site menu or breadcrumb trail,Sans menu du site ou fil d'Ariane,Geen site menu of bread crumb roete,Asnjë menu vend ose gjurmët Breadcrumb,أية قائمة أو موقع درب التفصيلي,Ոչ site մենյուն կամ bread crumb roete,Не меню или галета пътека,沒有網站選單或麵包屑導航,没有网站菜单或面包屑导航,Žádné místo menu nebo strouhanka stezka,Geen site menu of broodkruimelspoor,Pole lehe menüüd või jäljerida,Keine Website Menü oder Brotkrümelnavigation,Δεν εμφανίζεται κανένα μενού χώρο του ξενοδοχείου ή breadcrumb trail,कोई साइट मेनू या ब्रेडक्रम्ब निशान,Nincs Szótár menü vagy morzsa nyomvonal,Engin síða valmyndinni eða brauðmolaslóð,Tidak ada menu situs atau jejak breadcrumb,Nessun menu del sito o tracciato,ᐱᑕᖃᙱᑦᑐᖅᑐᑭᓯᒋᐊᕐᕕᐅᑉᓱᔾᔪᑎᖏᓐᓂᒃᐅᕝᕙᓘᓐᓃᑦᒪᓕᒃᑕᐅᔪᒃᓴᒥᒃ,サイトメニュー・パンくずリストがありません,어떤 사이트 메뉴 또는 사이트 이동 경로,Nav vietā izvēlne vai atpakaļceļa taka,Ne svetainės meniu arba naršymo kelias takas,Nie ma menu witryny ani łącz do stron nadrzędnych,"Nenhuma pesquisa, link seleção de idioma, menu do site ou navegação estrutural",Nenhum menu da página ou navegação estrutural,Нет меню сайта или навигационная цепочка,Žiadne miesto menu alebo omrvinková navigácia,Ningún menú de sitio ni hilo de Ariadna,เมนูเว็บไซต์หรือทาง BreadCrumb,Hiçbir sitenin menü veya kırıntı izi,Немає меню сайту або навігаційної стежки,Không có trình đơn trang web hoặc đường mòn mẩu bánh mì
,tmpl-nosearchlangsitemenubc,"No search, language selection link, site menu or breadcrumb trail","Sans recherche, lien de sélection de la langue, menu du site ou fil d'Ariane","Geen soek, taal seleksie skakel, webwerf menu of bread crumb roete","Jo, kërko Gjuha zgjedhja link, menu vend apo shteg Breadcrumb",أي بحث اختيار اللغة، وصلة، موقع القائمة أو درب التفصيلي,"Ոչինչ գտնված, լեզվից ՈՒղեցույց ընտրությունը, շինհրապարակի Մենյու կամ bread crumb roete","Не търсене, връзка за избор на език, меню на сайта или галета пътека",沒有搜尋、語言選擇連結、網站選單或麵包屑導航,没有搜索，语言选择链接，网站菜单或面包屑导航,"Ne vyhledávání, výběr jazyka link, site menu nebo strouhanka stezka","Geen zoek-, taalkeuzelink, websitemenu of broodkruimelspoor","Pole otsingu või keelevaliku linki, lehe menüüd või jäljerida","Keine Suche, Auswahl der Sprache Link, Website Menü oder Brotkrümelnavigation","Δεν αναζήτηση, σύνδεσμο επιλογή γλώσσας, μενού χώρο του ξενοδοχείου ή breadcrumb trail","कोई खोज, भाषा चयन लिंक, साइट मेनू या ब्रेडक्रम्ब निशान","Nincs keresés, nyelv kiválasztása link, Szótár menü vagy morzsa nyomvonal","Engin leit, tungumál val hlekkur, staður valmyndinni eða brauðmolaslóð","Tidak ada pencarian, pemilihan link bahasa, menu situs atau jejak breadcrumb","Nessun link di ricerca, selezione della lingua, menu del sito o tracciato","ᐱᑕᖃᙱᑦᑐᖅᕿᓂᕐᕕᖕᒥᒃ,ᐅᖃᐅᓯᕐᒥᒃᓂᕈᐊᕐᓂᕐᒧᒃᑲᓱᕐᕕᖕᒥᒃ,ᑐᑭᓯᒋᐊᕐᕕᐅᑉᓱᔾᔪᑎᖏᓐᓂᒃᐅᕝᕙᓘᓐᓃᑦᓴᓕᒃᑕᐅᔾᔪᑎᒃᓴᒥᒃ",検索・言語選択リンク・サイトメニュー・パンくずリストがありません,"어떤 검색, 언어 선택 링크를하지, 사이트 메뉴 나 사이트 이동 경로","Nav meklēšanas, valodas izvēle saikne, vieta izvēlnes vai atpakaļceļa taka","Ne paieškos, kalbos pasirinkimas nuoroda, svetainės meniu arba naršymo kelias takas","Nie ma łacza do przeszukiwania ani wyboru języka, menu witryny ani łącz do stron nadrzędnych","Nenhuma pesquisa, link seleção de idioma, menu do site ou navegação estrutural","Nenhuma pesquisa, link para seleção de idioma, menu da página ou navegação estrutural","Нет поиска, выбора языка ссылке, меню сайта или навигационная цепочка","Nie vyhľadávanie, výber jazyka link, site menu alebo omrvinková navigácia","Ninguna búsqueda, enlace de selección de idioma, menú de sitio ni hilo de Ariadna",ไม่มีการค้นหาเชื่อมโยงการเลือกภาษาเมนูเว็บไซต์หรือทาง BreadCrumb,"Hayır arama, dil seçimi bağlantısını, sitenin menü veya kırıntı izi","Немає пошуку, вибору мови, меню сайту або навігаційної стежки","Không có tìm kiếm, lựa chọn ngôn ngữ liên kết, menu trang web hoặc đường mòn mẩu bánh mì"
,tmpl-web-application,Application template,Modèle pour applications,Aansoek sjabloon,Aplikimi template,تطبيق قالب,Դիմում ձեւանմուշ,Заявление шаблон,應用程序模板,应用程序模板,Použití šablony,Toepassingssjabloon,Rakenduse mall,Application-Vorlage,Πρότυπο Εφαρμογή,अनुप्रयोग टेम्पलेट,Alkalmazás sablon,Umsókn sniðmát,Templat aplikasi,Modello di applicazione,ᐊᑐᖅᑎᑕᕐᒧᑦᐃᓗᐃᑦᑐᓕᐅᕈᑦ,アプリケーションテンプレート,애플리케이션 템플릿,Pieteikums veidni,Taikymas šablonas,Szablon aplikacji,Modelo de aplicação,Modelo de aplicação,Шаблон приложения,Použitie šablóny,Plantilla de aplicación,แม่แบบโปรแกรมประยุกต์,Uygulama şablonu,Шаблон додатку,Ứng dụng mẫu
,tmpl-multilingual,Multilingual,Multilingue,Verskeie tale,juhë të shumëfishta,متعدد اللغات,Բազմալեզու,Многоезичен,多國語言,多种语言,Vícejazyčné,Meertalig,Mitmekeelne,Mehrsprachig,Πολύγλωσσος,बहुभाषी,Többnyelvű,Fjöltyng,Multibahasa,Plurilingue,ᐅᖃᐅᓯᖃᑎᒌᙱᑦᑐᖅᓯᐅᑦ,多言語,다국어,Daudzvalodu,Daugiakalbis,Wielojęzyczny,Multilíngue,Multilíngue,Многоязычный,Multilingual,Plurilingüe,พูดได้หลายภาษา,Çok dilli,Багатомовний,Đa ngôn ngữ
,tmpl-site-title,Site title,Titre du site,Site titel,Gjurmët breadcrumb,عنوان الموقع,կայք Որոնում,Заглавие на сайта,網站標題,网站标题,Název stránky,Titel van de site,Lehe pealkiri,Site-Titel,Τον τίτλο Ιστοσελίδας,साइट शीर्षक,Oldal neve,Vefsíða titill,Judul situs,Titolo del sito,ᑐᑭᓯᒋᐊᕐᕕᐅᑉᐊᑎᖓ,サイト名,사이트 제목,Lapas nosaukums,Svetainės pavadinimas,Tytuł witryny,Título do site,Título do site,Название сайта,Názov stránky,Título del sitio,ชื่อเว็บไซต์,Sitesi başlığı,Назва сайту,Tiêu đề trang web
,tmpl-msg-title,Message title,Titre du message,Titel van die werf,Titulli i faqes,رسالة لقب,հաղորդագրություն Որոնում,Съобщение заглавие,留言標題,留言标题,Název zprávy,Titel van het bericht,Kirja teema,Titel der Nachricht,τίτλος Μήνυμα,संदेश का शीर्षक,Üzenet neve,Skilaboð titill,Pesan judul,Titolo del messaggio,ᑎᑎᖅᑲᐅᓯᐊᑉᐊᑎᖓ,メッセージ名,메시지 제목,Ziņa virsraksts,laiško pavadinimas,Tytuł wiadomości,Título da mensagem,Título da mensagem,Заголовок сообщения,Názov správy,Título del mensaje,ชื่อข้อความ,İleti başlığı,Тема повідомлення,Tin nhắn tiêu đề
,tmpl-sub-site,Sub-site,Sous-site,Subwebwerf,Nën-site,الموقع الفرعي,ներքին կայքը,Подсайт,子網站,子网站,Podřízený web,Subsite,Alamsait,Unterwebsite,Υπο-χώρο του ξενοδοχείου,सबसाइट,Alwebhely,Sub-síða,Sub-situs,Sito secondario,ᑐᑭᓯᒋᐊᕐᕕᐅᑉᐃᓚᖓ,サブサイト,하위 사이트,Sub-vietā,Antrinis,Podstrona,Site secundário,Site secundário,Sub-сайт,Sub-site,Sitio secundario,ย่อยเว็บไซต์,Alt sitenin,Другорядний сайт,Sub-site
,tmpl-wet-project,WET project,Projet de la BOEW,WET projek,Projekti WET,المشروع WET,WET նախագիծը,WET проект,WET計劃,WET项目,WET projekt,WET project,WET projekt,WET-Projekt,WET του έργου,परियोजना WET,WET projekt,WET verkefni,Proyek WET,Progetto WET,ᖃᕆᓴᐅᔭᖃᕐᕕᖕᒥᓴᓇᕐᕈᑏᑦᑲᑎᖓᔪᒧᑦᐱᓕᕆᖃᒃᓴᖅ,WETプロジェクト,WET 프로젝트,WET projekts,WET projektas,Projekt WET,Projeto WET,Projeto WET,WET проекта,WET projekt,Proyecto de WET,โครงการ WET,WET projesi,Проект WET,WET dự án
,tmpl-wet-on-github,WET on Github,Page principale du projet,Oor,Rreth,حول,մեր մասին,За,關於,关于,O,Over,Firmast,Über,Σχετικά με,के बारे में,A,Um,Tentang,Circa,ᖃᕆᓴᐅᔭᖃᕐᕕᖕᒥᓴᓇᕐᕈᑏᑦᑲᑎᖓᔪᒧᑦGithubᒥ,約,소개,Par,Viskas,O,Sobre,Sobre,Об этом,O,Acerca de,เกี่ยวกับ,Hakkında,Про це,Về
,tmpl-wet-main-project-page,Main project page,Page principale du projet,Main projek bladsy,Faqja kryesore projektit,الرئيسية المشروع الصفحة,Գլխավոր էջ Ծրագրի,Основна страницата на проекта,計劃主頁,项目主页,Hlavní stránka projektu,Hoofd project pagina,Projekti pealeht,Hauptprojektseite,Αρχική σελίδα του έργου,मुख्य परियोजना पृष्ठ,Főoldal projekt oldal,Helstu verkefni síðu,Halaman utama proyek,Pagina principale del progetto,ᐱᓕᕆᐊᒃᓴᓪᓗᐊᑕᕐᒧᑦᒪᒃᐱᒐᖅ,プロジェクトのメインページ,메인 프로젝트 페이지,Galvenais projekta lapa,Pagrindinis projekto puslapis,Strona główna projektu,Página principal projeto,Página do projeto principal,Главная страница проекта,Hlavná stránka projektu,Página del proyecto principal,หน้าโครงการหลัก,Ana proje sayfasına,Головна сторінка проекту,Trang chính của dự án
,tmpl-work-examples,Working examples,Exemples pratiques,Werk voorbeelde,Shembuj pune,أمثلة العمل,Աշխատանքային օրինակներ,Работни примери,工作實例,工作实例,Pracovní příklady,Praktijkvoorbeelden,Praktilised näited,Funktionierende Beispiele,Εργασίας παραδείγματα,काम उदाहरण,Munka példák,Vinnu dæmi,Contoh ,Esempi di lavoro,ᐆᒃᑑᑎᒋᔭᐅᔪᑦᐱᓕᕆᐊᕆᔭᐅᔪᑦ,作業例,작업 예제,Darba piemēri,Darbo pavyzdžiai,Przykłady robocze,Exemplos de trabalho,Exemplos práticos,Рабочие примеры,Pracovné príklady,Ejemplos prácticos,ตัวอย่างการใช้งาน,Çalışma örnekleri,Робочі приклади,Ví dụ hoạt động
,tmpl-documentation,Documentation,Documentation,Dokumentasie,Dokumentim,توثيق,փաստաթղթերով հիմնավորում,Документация,文件,文档,Dokumentace,Documentatie,Dokumentatsioon,Dokumentation,Τεκμηρίωση,प्रलेखन,Dokumentáció,Skjölun,Dokumentasi,Documentazione,ᑎᑎᕋᖅᑕᐅᓯᒪᔪᑦ,ドキュメンテーション,문서,Dokumentācija,Dokumentacija,Dokumentacja,Documentação,Documentação,Документация,Dokumentácia,Documentación,เอกสาร,Belgeleme,Документація,Tài liệu
,tmpl-downloads,Downloads,Téléchargements,Aflaaie,Shkarkime,التنزيلات,Բեռնումներ,Изтегляния,下載,下载,Soubory ke stažení,Downloads,Allalaadimised,Downloads,Λήψεις,डाउनलोड,Letöltések száma,Niðurhöl,Unduhan,Scaricamenti,ᒥᓇᐃᑦ,ダウンロード,다운로드,Lejupielādes,Siuntiniai,Pliki do pobrania,Descargas,Downloads,Загрузка,Súbory na stiahnutie,Descargas,ดาวน์โหลด,İndirme,Завантаження,Tải hàng tuần
,tmpl-implement,Implement,Mise en œuvre,Implementeer,Zbatimi,تنفيذ,Իրականացնել,Прилагане,實施,实施,Implementovat,Implementeren,Rakendada,Implementieren,Εφαρμογή,लागू,Végrehajtása,Innleiða,Menerapkan,Realizzare,ᐊᑐᓕᖅᑎᓪᓗᒍ,実装する,구현,Īstenot,Įgyvendinti,Wdrożenie,Implementar,Implementar,Реализовать,Implementovať,Implementar,ดำเนินการ,Uygulamak,Pеалізувати,Thực hiện
,tmpl-implement-wet,Implement WET,Mise en œuvre de la BOEW,Implementeer WET,Zbatimi WET,تنفيذ WET,Իրականացնել WET,Прилагане WET,實施WET,实施WET,Implementovat WET,Implementeren WET,Rakendada WET,Implementieren WET,Εφαρμογή WET,लागू WET,Végrehajtása WET,Innleiða WET,Menerapkan WET,Realizzare WET,ᐊᑐᓕᖅᑎᓪᓗᒍᖃᕆᓴᐅᔭᖃᕐᕕᖕᒥᓴᓇᕐᕈᑏᑦᑲᑎᖓᔪᒧᑦ,WET実装する,WET 구현,Īstenot WET,Įgyvendinti WET,Wdrożenie WET,Implementar WET,Implementar WET,Реализовать WET,Implementovať WET,Implementar WET,ดำเนินการWET,Uygulamak WET,Pеалізувати WET,Thực hiện WET
,tmpl-contribute,Contribute,Contribuer,Bydra,Kontribuoni,المساهمة,Նպաստել,Принос,貢獻,贡献,Přispět,Bijdragen,Panustada,Tragen,Συμβολή,योगदान,Hozzájárul,Stuðla,Berkontribusi,Contribuire,ᐃᑲᔪᕆᑦ,貢献する,기부,Sekmēt,Prisidėti,Przyczyniać,Contribuir,Contribuir,Заплатить,Prispieť,Contribuir,มีส่วนร่วมใน,Katkıda,Заплатити,Đóng góp
,tmpl-contribute-wet,Contribute to WET,Contribuer à la BOEW,Bydra tot WET,Kontribuoni për të WET,المساهمة في WET,Նպաստել WET,Принос за WET,有助於WET,有助于WET,Přispět k WET,Bijdragen aan WET,Panustada WET,Tragen zur WET,Συμβολή στην WET,WET में योगदान करें,Hozzájárulás a WET,Stuðla að WET,Berkontribusi ke WET,Contribuisci a WET,ᐃᑲᔪᕆᑦᖃᕆᓴᐅᔭᖃᕐᕕᖕᒥᓴᓇᕐᕈᑏᑦᑲᑎᖓᔪᒧᑦ,WETに貢献,WET에 기여,Veicināt WET,Prisidėti prie WET,Przyczynić się do WET,Contribuir para WET,Contribuir para WET,Содействие WET,Prispieť k WET,Contribuir a WET,นำไปสู่การ WET,WET katkıda,Співробітництво з WET,Đóng góp vào WET
,tmpl-about-wet,About the Web Experience Toolkit,À propos de la Boîte à outils de l’expérience Web,Oor die Web Experience Toolkit,Rreth Web Experience Toolkit,عن تجربة أدوات الويب,Մասին Web Experience Toolkit,За Web Experience Toolkit,關於網絡體驗工具包,关于网络体验工具包,O Web Experience Toolkit,Over de Web Experience Toolkit,Umbes Web Experience Toolkit,Über das Web Experience Toolkit,Σχετικά με το Web Experience Toolkit,वेब अनुभव टूलकिट के बारे में,A Web Experience Toolkit,Um Web Experience Toolkit,Tentang Web Experience Toolkit,Circa il Web Toolkit Experience,ᖃᕆᓴᐅᔭᖃᕐᕕᖕᒥᓴᓇᕐᕈᑏᑦᑲᑎᖓᔪᑦᒥᒃᓵᓄᑦ,ウェブエクスペリエンスツールキットについて,웹 체험 키트 소개,Par Web Experience Toolkit,Apie Web Experience Toolkit,O Web Experience Toolkit,Sobre a Web Experience Toolkit,Sobre a Web Experience Toolkit,   О Web Experience Toolkit,O Web Experience Toolkit,Acerca del Web Experience Toolkit,เกี่ยวกับเครื่องมือเว็บประสบการณ์,Web Experience Toolit hakkinda,Про WET,Giới thiệu về Web Experience Toolkit
,tmpl-about-web-standards,About the Web Standards,À propos des normes Web,Oor Web Standaarde,Rreth Standardet Web,حول معايير الويب,Օգտվողի վեբ ստանդարտներին,За уеб стандарти,關於Web標準,关于Web标准,O webových standardů,Over de webstandaarden,Umbes veebi standardeid,Über die Web-Standards,Σχετικά με τα πρότυπα του Παγκοσμίου Ιστού,वेब मानकों के बारे में,A webes szabványok,Um Web staðla,Tentang standar Web,Circa gli standard Web,ᐃᑭᐊᖅᑭᕕᒃᑯᑦᖃᓄᐃᓕᖓᔭᕆᐊᓖᑦᒥᒃᓵᓄᑦ,Web標準について,웹 표준에 대하여,Par Web standartiem,Apie žiniatinklio standartus,O standardach internetowych,Sobre os padrões da Web,Sobre os padrões da Web,О веб-стандартов,O webových štandardov,Acerca de los estándares de la Web,เกี่ยวกับมาตรฐานเว็บ,Web standartları hakkında,Про веб стандарти,Về các tiêu chuẩn Web
,tmpl-default-app,default appearance,apparence par défaut,standaard voorkoms,pamja e parazgjedhur,مظهر الافتراضي,Նորմալ տեսքը,подразбиране вид,原始外觀,默认外观,výchozí vzhled,standaarduiterlijk,vaikimisi välimus,Standarddarstellung,την προεπιλεγμένη εμφάνιση του,डिफ़ॉल्ट उपस्थिति,alapértelmezett megjelenés,sjálfgefið útlit,standar penampilan,aspetto predefinito,ᑕᐅᑦᑐᖓᐋᖅᑭᒃᐸᒌᖅᓯᒪᔪᖅ,デフォルトの外観,기본 모양,noklusējuma izskats,numatytoji išvaizda,domyślny wygląd,aparência padrão,aparência padrão,внешний вид по умолчанию,Predvolený vzhľad,apariencia predeterminada,ลักษณะเริ่มต้น,varsayılan görünüm,зовнішній вигляд  за замовчуванням,mặc định xuất hiện
,tmpl-heading,Heading,En-tête,Opskrif,Titull,رؤوس أقلام,Վերնագիր,Заглавие,標題,标题,Nadpis,Titel,Pealkiri,Überschrift,Επικεφαλίδα,शीर्षक,Cím,Fyrirsögn,Kepala,Titolo,ᐅᓂᒃᑳᓕᐊᑉᑕᐃᔭᐅᓂᖓ,見出し,표제,Virsraksts,Antraštė,Nagłówek,Título,Título,Заголовок,Nadpis,Título,หัวเรื่อง,Başlık,Заголовок ,Nhóm
,tmpl-para,Paragraph,Paragraphe,Paragraaf,Paragraf,فقرة,Պարբերություն,Параграф,段,段,Odstavec,Paragraaf,Lõik,Absatz,Παράγραφος,पैरा,Bekezdés,Málsgrein,Ayat,Paragrafo,ᐅᖃᐅᓯᑯᑖᒐᒃᓴᑦ,段落,절,Punkts,Punktas,Ustęp,Parágrafo,Parágrafo,Пункт,Odsek,Párrafo,ย่อหน้า,Paragraf,Пункт,Đoạn
,tmpl-link,Link,Lien,Link,Lidhje,صلة,ՈՒղեցույց,Връзка,連結,链接,Odkaz,Link,Hüperlink,Link,Σύνδεσμος,लिंक,Hiperhivatkozás,Tengill,Link,Collegamento,ᑲᓱᕐᕕᒃ,リンク,링크,Saite,Nuoroda,Łącze,Link,Link,Ссылка,Odkaz,Enlace,ลิงค์,Bağlantı,Посилання,Liên kết
,tmpl-link-custom,Custom link,Lien personnalisé,Custom skakel,Lidhje Custom,الرابط المخصص,Անհատականացված ՈՒղեցույց,Връзката Персонализирана,自行定義連結,自定义链接,Vlastní odkaz,Aangepaste koppeling,Kohandatud link,Benutzerdefinierten Link,Προσαρμοσμένη σύνδεσμο,कस्टम लिंक,Egyéni kapcsolat,Custom tengill,Link kustom,Collegamento personalizzato,ᓇᖕᒥᓂᖅᑲᓱᕐᕕᒃ,カスタムリンク,사용자 정의 링크,Pasūtījuma saite,Priskirtą nuorodą,Niestandardowe łącze,Link personalizado,Link personalizado,Пользовательские ссылки,Vlastné odkaz,Enlace personalizado,ลิงก์ที่กำหนดเอง,Özel bağlantı,Посилання користувачів,Tùy chỉnh liên kết
,tmpl-third-party,third party,tiers,derde party,palë e tretë,طرف ثالث,երրորդ անձ,трета страна,第三方,第三方,třetí strana,derden,kolmas isik,Dritter,τρίτο μέρος,तृतीय पक्ष,harmadik fél,þriðja aðila,pihak ketiga,terzi,ᐱᖓᔪᐊᑦᐃᓚᒋᔭᐅᔪᖅ,第三者,타사,trešā persona,trečioji šalis,strony trzecie,terceiro,terceiro,третья сторона,tretia strana,externos,บุคคลที่สาม,üçüncü şahıs,третя сторона,của bên thứ ba
,tmpl-file-downloads,file downloads based on file type,téléchargements des fichiers fondés sur le type de fichier,file downloads gebaseer op file type,shkarkime të skedarëve të bazuar në llojin e file,تحميل الملفات على أساس نوع الملف,ֆայլերով ներբեռնումներն հիմնված Ֆայլի տիպը,"изтегляния на файлове, базирани на тип на файла",根據文件類型的文件下載,根据文件类型的文件下载,stahování souborů založené na typu souboru,downloaden van bestanden op basis van bestandstypes,failide allalaadimine failitüüpide kaupa,Datei-Downloads basierend auf Dateityp,λήψεις το αρχείο που βασίζεται σχετικά με τύπο αρχείου,फ़ाइल फ़ाइल प्रकार के आधार पर डाउनलोड,fájlletöltések alapuló fájltípus,skrá niður miðað við skrá tegund,download file berdasarkan tipe file,download di file in base al tipo di file,ᒥᓇᕆᔭᐅᔪᑦᐃᓂᐅᑉᖃᓄᐃᑦᑑᓂᖏᑎᒍᑦ,ファイルの種類に基づいてダウンロード,파일 형식에 따라 파일 다운로드,"failu lejupielāde, pamatojoties uz faila tipu",parsisiųsti failus pagal failo tipą,pobieranie pliku na podstawie typu pliku,downloads de arquivos com base no tipo de arquivo,download de arquivos com base no tipo de arquivo,загрузка файлов на основе типа файла,sťahovanie súborov založené na type súboru,archivar descargas basadas según tipo de archivo,การดาวน์โหลดไฟล์จากไฟล์ประเภท,dosya türüne göre dosya indirme,завантаження файлів на основі типу файлу,tải về tập tin dựa trên loại tập tin
,tmpl-abbr,Abbreviation,Abréviation,Staat,Shkurtim,الاختصار,Հապավում,Съкращение,縮寫,缩写,Zkratka,Afkorting,Lühend,Abkürzung,Συντομογραφία,संक्षिप्तीकरण,Rövidítés,Skammstöfun,Singkatan,Abbreviazione,ᑕᐃᒎᓯᐅᑉᓇᐃᒡᓕᑎᒐᐊᖅᑎᑕᐅᓯᒪᓂᖓ,略称,약어,Saīsinājums,Santrumpa,Skrót,Abreviatura,Abreviatura,Сокращение,Skratka,Abreviación,ตัวย่อ,Kısaltma,Скорочення,Tên viết tắt
,tmpl-ul,unordered list,liste à puces,On-geordende lys,listë të renditura,قائمة غير مرتبة,Չհամարակալված ցուցակ,неподреден списък,無順序表,无序列表,výčtu,onordelijke lijst,täpploend,ungeordnete Liste,μη διατεταγμένη λίστα,unordered सूची,rendezetlen lista,óraðaðan lista,Daftar titik,lista non ordinata,ᑎᑎᕋᖅᓯᒪᔪᑦᓯᕗᓪᓕᐅᔾᔨᓯᒪᙱᑦᑐᑦ,順不同リスト,정렬되지 않은 목록,Nekārtots saraksts,netvarkingai sąrašą,Lista nieuporządkowana,lista não ordenada,lista não ordenada,неупорядоченный список,zoznamu,lista sin ordenar,รายการเรียงลำดับ,Sırasız liste,неупорядкований список,danh sách chưa được
,tmpl-ol,ordered list,liste ordonnée,geordende lys,Lista e urdhëroi,أمر قائمة,հրամայել ցուցակ,подреден списък,有順序表,有序列表,seřazený seznam,ordelijke lijst,nummerdatud loend,geordnete Liste,διέταξε λίστα,आदेश सूची,rendezett lista,pantaði lista,Daftar urutan,lista ordinata,ᑎᑎᕋᖅᓯᒪᔪᑦᓯᕗᓪᓕᐅᔾᔨᓯᒪᔪᑦ,順序付きリスト,정렬 된 목록,Sakārtots saraksts,tvarkingai sąrašą,Lista uporządkowana,lista ordenada,lista ordenada,упорядоченный список,zoradený zoznam,lista ordenada,รายการสั่งซื้อ,sıralı liste,упорядкований список,ra lệnh danh sách
,tmpl-level,level,niveau,vlak,nivel,مستوى,մակարդակ,ниво,層次,水平,úroveň,niveau,tase,Ebene,επίπεδο,स्तर,szint,stigi,tingkat,livello,ᓱᑯᑦᑎᐊ,レベル,레벨,līmenis,lygis,poziom,nível,nível,уровень,úroveň,nivel,ชั้น,seviye,рівень,mức độ
,tmpl-table-caption,Table caption,Légende de table,Tabel caption,Tabela caption,الجدول التوضيحية,Աղյուսակ վերնագիր,Таблица надпис,表格標題,表标题,Tabulka titulek,Tabelbijschrijft,Tabeli pealdis,Tabellenbeschriftung,Πίνακας λεζάντα,तालिका शीर्षक,Táblázat caption,Tafla yfirskrift,Keterangan tabel,Didascalia della tabella,ᑭᐳᒥᐅᓂᒃᑳᑉᑕᐃᒎᓯᖓ,テーブルキャプション,표 캡션,Tabula parakstu,Lentelė antraštė,Legenda tabeli,Tabela legenda,Título da tabela,Таблица подпись,Tabuľka titulok,Título de tabla,คำอธิบายตาราง,Tablo başlığı,Підпис до таблиці,Bảng chú thích
,tmpl-table-head,Table header,En-tête de table,Table header,Header tabela,الجدول رأس,Աղյուսակ վերնագիր տուրուդմփոց,Таблица заглавието,表格標頭,表头,Záhlaví tabulky,Tabelkop,Veeru pealkiri,Tabellenkopf,Κεφαλίδα Πίνακας,टेबल हैडर,Táblázat fejléce,Tafla haus,Header tabel,Intestazione della tabella,ᑭᐳᒥᖁᓛᒎᖓᔾᔪᑦ,テーブルヘッダー,테이블 헤더,Tabula header,Lentelės antraštės,Nagłówek tabeli,Cabeçalho da tabela,Cabeçalho da tabela,Заголовок таблицы,Záhlavie tabuľky,Encabezado de tabla,ส่วนหัวของตาราง,Tablo başlığı,Заголовок таблиці,Đầu bảng
,tmpl-table-data,Table data,Données de table,Tabel data,Të dhënat tabela,جدول البيانات,Սեղանի տվյալներ,Данни,表格數據,表数据,Tabulka dat,Tabelgegevens,Tabeli andmed,Die Daten der Tabelle,Τα δεδομένα Πίνακας,तालिका डेटा,Táblázat adatai,Tafla gögn,Data tabel,Dati della tabella,ᑭᐳᒥᑎᑎᖅᑲᑦ,テーブルデータ,테이블 데이터,Tabulas dati,Stalo duomenys,Dane z tabeli,Dados da tabela,Dados da tabela,Таблица данных,Tabuľka dát,Datos de tabla,ข้อมูลตาราง,Tablo verileri,Таблиця даних,Bảng dữ liệu
,tmpl-form,Form,Formulaire,Vorm,Formë,شكل,տեսակ,Форма,形式,形式,Formulář,Vorm,Vorm,Formular,Μορφή,प्रपत्र,Forma,Form,Formulir,Modulo,ᑕᑕᑎᕆᔾᔪᑦ,フォーム,형태,Veidlapa,Forma,Formularz,Forma,Forma,Форма,Formulár,Forma,ฟอร์ม,Form,Форма,Mẫu
,tmpl-option,Option,Option,Opsie,Alternativë,خيار,Տարբերակ,Опция,選項,选项,Volba,Optie,Valik,Option,Επιλογή,विकल्प,Opció,Valkostur,Pilihan,Opzione,ᖃᓄᖅᑑᕈᑦ,オプション,선택권,Izvēle,Pasirinkimas,Opcja,Opção,Opção,Вариант,Voľba,Opción,การเลือก,Seçenek,Варіант,Lựa chọn
,tmpl-and,and,et,en,dhe,و,իսկ,и,和,和,a,en,ja,und,και,और,és,og,dan,e,ᐊᒻᒪᓗ,と,과,un,ir,i,e,e,и,a,y,และ,ve,і,và
,tmpl-submit,Submit,Soumettre,Stuur,Paraqes,عرض,Ներկայացնել,Подаване,送出,提交,Předložit,Aanmelden,Esita,Einreichen,Υποβολή,प्रस्तुत करना,Küldés,Senda,Menyerahkan,Inviare,ᑐᓂᓕ,送信,제출,Iesniegt,Pateikti,Wyślij,Submeter,Submeter,Представлять,Predložiť,Enviar,เสนอ,Sunmak,Подати,Gửi
,tmpl-reset,Reset,Réinitialiser,Herstel,Rivë,أعاد التشغيل,Տեղավորել,Набирам отново,重新輸入,复位,Obnovit,Reset,Lähtesta,Rücksetzen,Επαναφορά,रीसेट करें,Visszaállítás,Endurstilla,Atur ulang,Reset,ᐱᒋᐊᑦᑎᐊᕐᓕ,リセット,재설정,Reset,Atstatyti,Resetuj,Restabelecer,Restabelecer,Сброс,Obnoviť,Reestablecer,ตั้งใหม่,Ayarlamak,Повернутися у вихідне положення,Thiết lập lại
,tmpl-about-anchor,about,apropos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
